amino,atom,cluster,dist,angle,dihed,prob
GLU,C,N2,2.23832050324258,145.565509432769,158.644238505996,0.269912993318271
GLU,C,N3,2.2044295851529,142.990328875546,-145.210964792576,1
GLU,CD,N1,2.66846259733458,50.4353907229307,-19.1936278666533,0.332384503774459
GLU,CD,N1,2.97206957862775,23.9558303643103,53.7193870933354,0.323149114905946
GLU,CD,N1,3.16652240519615,45.1816309427149,119.998699132143,0.344466381319595
GLU,CD,N2,3.23308806104346,53.7638302871486,96.0121633843883,0.380387331002424
GLU,CD,N2,2.39390867268494,38.1093639671309,-11.0415234248562,0.31316854389812
GLU,CD,N2,3.00854340216019,31.1364375912048,91.5462453910317,0.167311578784773
GLU,CD,N2,3.28679533476234,84.0526732777194,70.7161520698492,0.139132546314682
GLU,CD,N3,3.31925655933245,86.6683607259985,72.0557861280623,0.200219967586575
GLU,CD,N3,3.22397347344819,52.7772240083591,94.782888979333,0.505916302798299
GLU,CD,N3,2.37599897231589,34.4548867962777,-4.11082713735076,0.293863729615127
GLU,CG,N1,1.96130799401153,58.1329938414914,81.6678707218725,0.578554363463612
GLU,CG,N1,1.67336488185614,32.9647152238952,13.7525737650996,0.421445636536387
GLU,CG,N2,2.19510202190278,77.4943122175633,69.4401666868517,0.19385769806939
GLU,CG,N2,1.69818191505472,36.1859021486558,42.4607500851337,0.228138067847431
GLU,CG,N2,1.89000788085769,57.2214683345918,150.596484847003,0.27965612041726
GLU,CG,N2,1.9035528673086,59.2369131078147,59.2442965326032,0.298348113665919
GLU,CG,N3,2.23237878303052,75.6535788793982,91.3094403935473,0.227206801443751
GLU,CG,N3,1.87814926404447,55.6730431404282,146.358307020036,0.287186042261897
GLU,CG,N3,1.89429739757456,57.9732281396363,56.9331742825733,0.485607156294351
GLU,H,N1,2.53149421717844,129.25827590345,34.8722694306143,0.140602799512797
GLU,H,N1,2.74391122955452,148.024307444209,37.6446166932118,0.14693560956275
GLU,H,N1,2.6094844745837,139.06349569363,42.5068201297928,0.489373503326318
GLU,H,N1,2.4081228937822,127.485196459317,38.3568678656198,0.223088087598135
GLU,H,N2,2.52696332838111,130.259357507045,28.7209889695515,0.326373216764798
GLU,H,N2,2.58023772252241,136.90944284327,43.5286622628741,0.673626783235202
GLU,H,N3,2.70542374698549,135.288939774598,30.0479151820776,0.204722050172908
GLU,H,N3,2.57239987292077,136.310648215929,42.1898128017572,0.795277949827092
GLU,N,N1,2.1058491247067,141.19305720989,13.6726547554593,1
GLU,N,N2,2.22772014306249,149.33101858486,19.2671579656907,0.697783101384012
GLU,N,N2,2.1314134772463,143.526062111907,10.6599451516606,0.302216898615994
GLU,N,N3,2.23069196123924,149.370783403849,17.5301583185478,1
GLU,OE1,N1,3.4461114944035,36.1646939579018,95.2253757595544,0.339104256723201
GLU,OE1,N1,2.82091521837908,43.8164348794848,-107.314153623632,0.181642812112804
GLU,OE1,N1,3.69753567396178,53.9738149629031,75.4309092275353,0.373637196731975
GLU,OE1,N1,3.45252781882638,20.363003462033,106.144363602051,0.105615734432019
GLU,OE1,N2,3.4360316085035,96.296811614168,77.7733047690244,0.103451904481014
GLU,OE1,N2,3.67220479258893,56.4012893507408,100.726425518648,0.310745285261291
GLU,OE1,N2,2.56649471799973,30.9946413299189,-74.8095726381124,0.241277890541025
GLU,OE1,N2,3.78736149601006,47.0923192872357,91.4822054702878,0.344524919716671
GLU,OE1,N3,3.75820550575254,58.9259348494766,97.0636352096383,0.441884909544325
GLU,OE1,N3,2.58042259648494,26.7159659815074,-52.7517253120349,0.252262291070422
GLU,OE1,N3,3.81083012305956,77.5721923496631,87.5595291666015,0.305852799385254
GLU,OE2,N1,3.45078314056624,32.9260675525415,97.6885002507571,0.11455105819376
GLU,OE2,N1,3.95764499094547,23.758762414144,22.5437988255994,0.209642765874597
GLU,OE2,N1,3.97294537023177,35.7972874133807,123.005296206065,0.203834898173372
GLU,OE2,N1,3.38854315102833,45.380463196763,-73.5678545617526,0.279138253374267
GLU,OE2,N1,4.25586599802362,72.2987479648186,100.69697544801,0.192833024384003
GLU,OE2,N2,3.16939576413715,40.4101375931169,-120.714885257825,0.147119709581196
GLU,OE2,N2,3.70980300974873,48.4935829191133,109.973427962268,0.207212060126104
GLU,OE2,N2,3.73639574748674,65.8876545991157,32.1612268713525,0.283365089353871
GLU,OE2,N2,3.99386275439289,35.7724713454473,56.1473765400443,0.11232229598465
GLU,OE2,N2,4.15432777259893,46.5301712083012,146.277408052188,0.132748079414123
GLU,OE2,N2,4.20375996470637,50.2748038683957,63.7146736688564,0.117232765540049
GLU,OE2,N3,3.93417948499037,64.9108425631082,80.4890323833925,0.515200685102395
GLU,OE2,N3,4.15995823594293,46.8795469744156,88.8951779996989,0.299560694405983
GLU,OE2,N3,3.01504598500882,38.8222672817255,-81.7167069990817,0.185238620491622
GLU,O,N1,3.1551849152851,145.481315357988,119.115254144653,1
GLU,O,N2,2.96557373340398,133.871045028774,131.121430753804,0.267318584499201
GLU,O,N2,2.73778079703697,120.071962337583,-144.642594600714,0.538696240953369
GLU,O,N2,2.64749207946137,115.820194188414,-154.388688375586,0.193985174547427
GLU,O,N3,2.72005392699113,118.878643528761,-134.057151548673,1
PRO,CB,N1,0.918259202453987,73.0813599182005,97.960631390593,1
PRO,CB,N2,0.877896261304584,70.6605725683628,92.942888348143,0.513205818090057
PRO,CB,N2,1.17341711837676,89.3637707909432,94.2361630524932,0.486794181909943
PRO,CB,N3,1.21647462686567,91.1999761194031,98.4864776119399,1
PRO,C,N1,2.3147459727385,150.562973977695,150.164770755886,1
PRO,C,N2,2.29300065050344,149.191573439402,157.373992218785,0.594834768119967
PRO,C,N2,2.18773828412217,142.090473310453,-164.63513443766,0.405165231880033
PRO,C,N3,2.22241298625327,142.942257970167,-136.20849078678,1
PRO,CD,N1,2.51524123385184,106.409446348537,37.2250355918798,1
PRO,CD,N2,2.62319988520594,112.246076194575,38.2182106471517,1
PRO,CD,N3,2.79313143549364,120.755009085403,46.2977377347062,1
PRO,CG,N1,2.06194371383482,82.8909836927933,62.4336112572331,1
PRO,CG,N2,2.11487747205504,85.620616222413,58.53840570364,1
PRO,CG,N3,2.29954203073216,95.9813859596264,66.6332118107864,1
PRO,N,N1,2.01163816604706,136.14049070632,13.683551425031,1
